Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked
0,3,male,1,0,,S
1,1,female,1,0,C85,C
1,3,female,0,0,,S
1,1,female,1,0,C123,S
0,3,male,0,0,,S
0,3,male,0,0,,Q
0,1,male,0,0,E46,S
0,3,male,3,1,,S
1,3,female,0,2,,S
1,2,female,1,0,,C
1,3,female,1,1,G6,S
1,1,female,0,0,C103,S
0,3,male,0,0,,S
0,3,male,1,5,,S
0,3,female,0,0,,S
1,2,female,0,0,,S
0,3,male,4,1,,Q
1,2,male,0,0,,S
0,3,female,1,0,,S
1,3,female,0,0,,C
0,2,male,0,0,,S
1,2,male,0,0,D56,S
1,3,female,0,0,,Q
1,1,male,0,0,A6,S
0,3,female,3,1,,S
1,3,female,1,5,,S
0,3,male,0,0,,C
0,1,male,3,2,C23 C25 C27,S
1,3,female,0,0,,Q
0,3,male,0,0,,S
0,1,male,0,0,,C
1,1,female,1,0,B78,C
1,3,female,0,0,,Q
0,2,male,0,0,,S
0,1,male,1,0,,C
0,1,male,1,0,,S
1,3,male,0,0,,C
0,3,male,0,0,,S
0,3,female,2,0,,S
1,3,female,1,0,,C
0,3,female,1,0,,S
0,2,female,1,0,,S
0,3,male,0,0,,C
1,2,female,1,2,,C
1,3,female,0,0,,Q
0,3,male,0,0,,S
0,3,male,1,0,,Q
1,3,female,0,0,,Q
0,3,male,2,0,,C
0,3,female,1,0,,S
0,3,male,4,1,,S
0,3,male,0,0,,S
1,1,female,1,0,D33,C
1,2,female,1,0,,S
0,1,male,0,1,B30,C
1,1,male,0,0,C52,S
1,2,female,0,0,,S
0,3,male,0,0,,C
1,2,female,1,2,,S
0,3,male,5,2,,S
0,3,male,0,0,,C
1,1,female,0,0,B28,
0,1,male,1,0,C83,S
0,3,male,3,2,,S
0,1,male,0,0,,C
1,3,male,1,1,,C
1,2,female,0,0,F33,S
0,3,male,0,0,,S
1,3,female,4,2,,S
0,3,male,2,0,,S
0,2,male,0,0,,S
0,3,female,5,2,,S
0,2,male,0,0,,S
0,3,male,1,0,,C
1,3,male,0,0,,S
0,3,male,0,0,F G73,S
0,3,male,0,0,,S
0,3,male,0,0,,S
1,2,male,0,2,,S
1,3,female,0,0,,S
0,3,male,0,0,,S
1,3,male,0,0,,S
1,3,female,0,0,,Q
0,1,male,0,0,,S
1,2,female,0,0,,S
1,3,female,3,0,,S
0,3,male,1,3,,S
0,3,male,0,0,,S
1,1,female,3,2,C23 C25 C27,S
0,3,male,0,0,,S
0,3,male,0,0,,S
0,3,male,0,0,,S
0,1,male,1,0,E31,S
0,3,male,1,2,,S
0,3,male,0,0,,S
0,3,male,0,0,,S
0,1,male,0,0,A5,C
1,1,male,0,1,D10 D12,C
1,2,female,0,1,,S
0,2,male,1,0,,S
0,3,female,0,0,,S
0,3,male,0,0,,S
0,1,male,0,1,D26,S
0,3,male,0,0,,S
0,3,male,2,0,,S
0,3,male,0,0,,S
1,3,female,0,0,,S
1,3,male,0,0,,S
0,3,male,0,0,,S
1,3,female,1,0,,Q
0,1,male,0,0,C110,S
0,3,female,1,0,,C
0,3,male,0,0,,S
0,3,female,1,0,,S
0,3,female,0,0,,C
0,3,male,0,0,,S
0,3,male,0,0,,Q
0,2,male,1,0,,S
0,1,male,0,1,B58 B60,C
0,3,female,4,2,,S
0,2,male,2,0,,S
0,3,male,0,0,,S
0,2,male,1,0,,C
1,2,female,0,0,E101,S
0,1,male,0,1,D26,S
1,3,male,1,0,,C
0,3,male,0,0,,Q
1,3,male,0,0,,S
1,3,female,1,1,F E69,C
0,3,male,0,0,,S
0,3,male,0,0,,C
0,3,male,0,0,,S
0,3,female,1,0,,S
1,2,female,1,0,,S
0,2,male,0,0,,S
0,2,male,0,0,,C
1,1,female,0,2,D47,S
0,1,male,1,0,C123,S
0,3,male,0,0,,S
0,1,male,0,0,B86,C
0,3,female,0,2,,C
1,3,female,0,0,,S
1,3,female,1,0,,S
0,3,male,0,0,,Q
0,2,male,0,0,,S
0,2,male,1,1,,S
1,3,male,0,0,,S
0,3,female,2,2,,S
0,2,male,0,2,F2,S
0,2,male,0,0,,S
0,2,male,0,0,,S
1,1,female,1,0,C2,S
0,3,male,0,0,,S
0,3,male,0,2,,S
0,3,male,0,0,,S
0,1,male,0,1,,C
1,3,female,0,0,,Q
0,3,male,0,0,,S
0,3,male,0,0,,S
0,3,male,8,2,,S
0,3,male,0,1,,S
1,2,female,0,0,,S
0,3,male,0,0,,S
0,3,male,0,0,,S
0,3,male,4,1,,S
1,3,male,0,2,,S
1,1,female,0,1,E33,S
0,3,female,1,4,,S
0,1,male,0,0,,S
0,3,male,0,0,,S
0,1,male,0,0,B19,S
0,3,male,4,1,,Q
1,3,female,1,1,,S
0,3,male,0,0,,S
0,1,male,0,0,A7,C
0,3,male,1,1,,S
0,3,male,3,1,,S
0,1,female,0,0,C49,C
0,2,male,0,0,,S
0,3,male,0,0,,S
0,3,female,8,2,,S
0,2,male,0,0,,C
0,3,male,4,2,,S
1,2,male,2,1,F4,S
1,3,female,0,2,,S
0,1,male,0,0,A32,S
1,3,female,1,0,,Q
1,1,male,0,0,,S
0,3,male,1,1,,Q
0,3,male,0,0,,S
1,2,female,0,0,,S
0,2,male,0,0,,S
1,3,female,1,0,,S
1,2,male,1,1,F2,S
1,1,female,0,0,B4,C
1,1,female,0,0,B80,C
0,3,male,0,0,,Q
0,3,male,0,1,,S
1,3,female,0,0,,Q
0,2,female,0,0,,S
0,3,male,0,0,,S
0,3,male,8,2,,S
0,3,male,0,0,,S
0,3,male,0,0,,C
1,3,male,0,0,,S
0,3,female,0,1,G6,S
0,3,male,1,0,,S
1,3,male,0,0,,C
1,3,female,0,0,,Q
1,1,male,0,0,A31,C
0,3,male,0,0,,S
1,2,female,0,0,,S
0,3,male,0,0,,S
0,2,male,0,0,,S
0,3,male,1,0,,Q
1,1,female,1,0,D36,C
1,3,female,0,0,,S
0,2,male,1,0,,S
1,1,female,0,0,D15,C
0,2,male,0,0,,S
1,3,male,0,0,,S
0,2,male,0,0,,S
0,3,male,0,0,,S
0,3,male,0,0,,S
1,1,male,1,0,C93,S
0,3,male,0,0,,S
1,2,male,0,0,,S
0,3,male,0,0,,S
0,2,male,0,0,,S
0,3,female,3,1,,S
1,1,female,1,0,C83,S
